CD,URL,STS
1,https://d16w7cuzwgzfcy.cloudfront.net/Custom/Content/Products/13/36/133693_creme-dental-colgate-total-12-clean-mint-90gr-p35618_z1_638860008769567951.webp,1
2,https://drogariasp.vteximg.com.br/arquivos/ids/1066314-1000-1000/615641---Enxaguante-Bucal-Colgate-Plax-Ice-Infinity-1-Litro_0000_629a1a356673660bdf955ed0.png?v=638455194369230000,1
3,https://destro.fbitsstatic.net/img/p/escova-de-dente-colgate-classic-macia-71521/258057.jpg?w=500&h=500&v=202501231555&qs=ignore,1
4,https://www.saobraz.com.br/files/product/17247836467532-pipposchurrasco75gnovo.png,1
5,https://ikesaki.vtexassets.com/arquivos/ids/237468-800-auto?v=637099601359700000&width=800&height=auto&aspect=true,1
